Jahr;Kurzzeichen;Wirtschaftszweige;Unternehmen (EU);Tätige Personen;Lohn- und Gehaltsempfänger;Lohn- und Gehaltsempfänger in Vollzeiteinheiten;Personalaufwendungen;Bruttolöhne und -gehälter;Sozialversicherungskosten;Umsatz;Bruttogewinnspanne bei Handelswaren;Produktionswert;Bruttowertschöpfung zu Faktorkosten;Bruttobetriebsüberschuss
2018;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1540;47392;46154;43880;3172;2351;821;23939;.;18913;5522;2350
2018;WZ08-C;Verarbeitendes Gewerbe;206043;8123868;7934269;7425554;466388;382268;84120;2354504;.;2021038;650201;183813
2018;WZ08-D;Energieversorgung;67984;375474;281577;267389;21647;16666;4981;615366;.;609782;56191;34544
2018;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;10395;288317;285702;266401;13804;11007;2797;69419;.;66006;28633;14829
2018;WZ08-F;Baugewerbe;357187;2474944;2132200;1846637;79739;62527;17212;303191;.;311195;123309;43569
2018;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;582198;6524359;5977223;4688540;196818;163326;33492;2030737;.;556083;319152;122334
2018;WZ08-H;Verkehr und Lagerei;108834;2375423;2258145;1821090;77707;63251;14455;340662;.;234326;112900;35193
2018;WZ08-I;Gastgewerbe;234532;2523523;2250924;1426829;32004;26039;5965;102800;.;102674;50897;18893
2018;WZ08-J;Information und Kommunikation;130010;1522146;1378331;1190143;83769;69982;13787;299650;.;223118;132724;48955
2018;WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;-;-;-;-;-;-;-;-;.;-;-;-
2018;WZ08-L;Grundstücks- und Wohnungswesen;167054;550798;357911;285676;14086;11666;2420;124943;.;109223;72143;58057
2018;WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;500226;2717706;2144276;1766884;106600;89415;17185;313390;.;260769;168168;61567
2018;WZ08-N;Sonstige wirtschaftliche Dienstleistungen;221234;3549890;3313476;2430901;81915;67456;14459;248553;.;185908;136392;54477
2018;WZ08-P;Erziehung und Unterricht;-;-;-;-;-;-;-;-;.;-;-;-
2018;WZ08-Q;Gesundheits- und Sozialwesen;-;-;-;-;-;-;-;-;.;-;-;-
2018;WZ08-R;Kunst, Unterhaltung und Erholung;-;-;-;-;-;-;-;-;.;-;-;-
2018;WZ08-S;Erbringung von sonstigen Dienstleistungen;13689;47000;32432;26383;856;704;152;3246;.;2520;1430;574
2018;;Insgesamt;2600925;31120840;28392620;23486305;1178505;966659;211846;6830401;.;4701556;1857661;679156
2019;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1561;39571;38001;35860;2187;1775;412;11012;.;9008;3717;1531
2019;WZ08-C;Verarbeitendes Gewerbe;212550;8236201;8047476;7533426;484691;397715;86977;2393429;.;2051371;658751;174060
2019;WZ08-D;Energieversorgung;72797;387355;288960;274582;22098;17153;4944;625119;.;620141;59891;37793
2019;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;10229;305599;303068;282699;15157;12047;3111;72732;.;69829;30615;15458
2019;WZ08-F;Baugewerbe;376853;2643029;2306615;2039321;91344;71365;19978;333069;.;340438;132211;40867
2019;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;574827;6588606;6034931;4742976;205313;170133;35180;2120632;.;587253;334929;129616
2019;WZ08-H;Verkehr und Lagerei;105903;2367885;2256366;1837403;81145;65737;15407;338909;.;239769;116580;35435
2019;WZ08-I;Gastgewerbe;236184;2527688;2255078;1440865;34203;27735;6469;107697;.;107500;52733;18530
2019;WZ08-J;Information und Kommunikation;127191;1520886;1377752;1185953;85641;71436;14205;305019;.;223947;136459;50818
2019;WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;-;-;-;-;-;-;-;-;.;-;-;-
2019;WZ08-L;Grundstücks- und Wohnungswesen;159841;573150;385961;309834;15971;13184;2787;127590;.;109897;73232;57261
2019;WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;486480;2769724;2217605;1836463;114049;95636;18414;326691;.;265545;173056;59007
2019;WZ08-N;Sonstige wirtschaftliche Dienstleistungen;215884;3558855;3327096;2402860;85542;69905;15637;261079;.;192367;138421;52878
2019;WZ08-P;Erziehung und Unterricht;-;-;-;-;-;-;-;-;.;-;-;-
2019;WZ08-Q;Gesundheits- und Sozialwesen;-;-;-;-;-;-;-;-;.;-;-;-
2019;WZ08-R;Kunst, Unterhaltung und Erholung;-;-;-;-;-;-;-;-;.;-;-;-
2019;WZ08-S;Erbringung von sonstigen Dienstleistungen;12380;45650;32351;27116;933;768;166;3198;.;2344;1450;517
2019;;Insgesamt;2592680;31564200;28871260;23949358;1238275;1014590;223686;7026178;.;4819410;1912045;673770
2020;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1663;37952;36663;34516;2188;1776;412;10808;.;9114;3678;1490
2020;WZ08-C;Verarbeitendes Gewerbe;220608;7884526;7690619;7218244;459858;375997;83862;2206952;.;1879293;610032;150174
2020;WZ08-D;Energieversorgung;62531;381463;296994;281487;23259;18122;5137;582226;.;577782;59709;36450
2020;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;10009;310488;308066;287701;15804;12638;3165;73471;.;71532;31264;15460
2020;WZ08-F;Baugewerbe;393852;2633988;2294823;2019327;93761;73047;20715;373864;.;360274;140230;46469
2020;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;542120;6513411;5985777;4730688;205617;170202;35414;2119184;.;582829;330288;124671
2020;WZ08-H;Verkehr und Lagerei;98486;2217268;2115474;1755349;77500;62679;14821;311077;.;216563;106327;28828
