Jahr;Kurzzeichen;Wirtschaftszweige;Unternehmen (EU);Tätige Personen;Lohn- und Gehaltsempfänger;Lohn- und Gehaltsempfänger in Vollzeiteinheiten;Personalaufwendungen;Bruttolöhne und -gehälter;Sozialversicherungskosten;Umsatz;Bruttogewinnspanne bei Handelswaren;Produktionswert;Bruttowertschöpfung zu Faktorkosten;Bruttobetriebsüberschuss
2022;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1575.0;38947.0;37331.0;34978.0;2467.0;1900.0;567.0;25184.0;410;11348.0;5411.0;2944.0
2022;WZ08-C;Verarbeitendes Gewerbe;204554.0;8041604.0;7868166.0;7360903.0;518848.0;411791.0;107057.0;2842708.0;165712;2458341.0;773337.0;254489.0
2022;WZ08-D;Energieversorgung;66352.0;405116.0;316634.0;297812.0;27078.0;19900.0;7178.0;1387737.0;3605;1368699.0;87648.0;60570.0
2022;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;9838.0;308242.0;305636.0;286475.0;16428.0;13069.0;3359.0;86276.0;1046;83530.0;33221.0;16793.0
2022;WZ08-F;Baugewerbe;382005.0;2780210.0;2460625.0;2169220.0;109502.0;85697.0;23805.0;402858.0;1669;420307.0;169679.0;60177.0
2022;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;537521.0;6426772.0;5924954.0;4806445.0;227043.0;187775.0;39268.0;2517366.0;672483;740745.0;445431.0;218388.0
2022;WZ08-H;Verkehr und Lagerei;100877.0;2289690.0;2194930.0;1837758.0;93585.0;75728.0;17857.0;461382.0;.;309510.0;157169.0;63584.0
2022;WZ08-I;Gastgewerbe;228672.0;2105691.0;1873477.0;1339610.0;34250.0;27746.0;6504.0;112098.0;.;109875.0;56139.0;21889.0
2022;WZ08-J;Information und Kommunikation;130517.0;1626692.0;1506281.0;1322054.0;101644.0;85116.0;16528.0;349733.0;.;263399.0;151907.0;50262.0
2022;WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;69740.0;1096384.0;1043769.0;913510.0;98097.0;75906.0;22191.0;639547.0;.;443369.0;221823.0;123726.0
2022;WZ08-L;Grundstücks- und Wohnungswesen;185567.0;645669.0;455978.0;363977.0;19062.0;15821.0;3241.0;141922.0;.;123506.0;82189.0;63127.0
2022;WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;470484.0;2604868.0;2108791.0;1834649.0;121810.0;101762.0;20048.0;371850.0;.;300948.0;196305.0;74496.0
2022;WZ08-N;Sonstige wirtschaftliche Dienstleistungen;222828.0;3216724.0;3000216.0;2304971.0;92429.0;75626.0;16803.0;295206.0;.;239588.0;166736.0;74307.0
2022;WZ08-P;Erziehung und Unterricht;54156.0;455881.0;402999.0;326828.0;14285.0;11618.0;2667.0;29538.0;.;28632.0;19046.0;4761.0
2022;WZ08-Q;Gesundheits- und Sozialwesen;242042.0;5593249.0;5293273.0;4245179.0;208202.0;168772.0;39430.0;374052.0;.;366430.0;261163.0;52961.0
2022;WZ08-R;Kunst, Unterhaltung und Erholung;83234.0;456543.0;369973.0;253803.0;10642.0;8986.0;1656.0;46703.0;.;43005.0;26717.0;16075.0
2022;WZ08-S;Erbringung von sonstigen Dienstleistungen;169754.0;623512.0;460881.0;349466.0;10359.0;8366.0;1993.0;36556.0;.;32173.0;21694.0;11335.0
2022;;Insgesamt;3159716.0;38715794.0;35623912.0;30047639.0;1705732.0;1375579.0;330153.0;10120715.0;844925;7343404.0;2875615.0;1169883.0
