Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1540;16012;4873;91;.;.;-;.;1511;.;.;.;.;.;.;.;-
WZ08-05;  Kohlenbergbau;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-051;    Steinkohlenbergbau;4;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-052;    Braunkohlenbergbau;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-06;  Gewinnung von Erdöl und Erdgas;10;.;.;.;.;.;-;.;625;.;.;.;.;.;.;.;-
WZ08-061;    Gewinnung von Erdöl;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-062;    Gewinnung von Erdgas;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-07;  Erzbergbau;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-071;    Eisenerzbergbau;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-072;    NE-Metallerzbergbau;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-0721;      Bergbau auf Uran- und Thoriumerze;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-0729;      Sonstiger NE-Metallerzbergbau;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-08;  Gewinnung von Steinen und Erden, sonstiger Bergbau;1427;.;.;.;.;.;-;.;703;.;.;.;.;.;.;.;-
WZ08-081;    Gewinnung von Natursteinen,Kies,Sand,Ton u. Kaolin;1304;4810;1045;35;.;.;-;.;620;.;.;.;.;.;.;.;-
WZ08-0811;      Gew. von Natursteinen,Kalk-u.Gipsstein,Kreide usw;400;2433;800;11;.;.;-;.;241;.;.;.;.;.;.;.;-
WZ08-0812;      Gewinnung von Kies, Sand, Ton und Kaolin;904;2378;245;23;.;.;-;.;380;.;.;.;.;.;.;.;-
WZ08-089;    Sonst. Bergbau, Gewinnung v.Steinen u.Erden a.n.g.;123;.;.;.;.;.;-;.;82;.;.;.;.;.;.;.;-
WZ08-0891;      Bergbau auf chem. Minerale u. Düngemittelminerale;7;.;.;.;.;.;-;.;8;.;.;.;.;.;.;.;-
WZ08-0892;      Torfgewinnung;82;340;129;1;.;.;-;.;27;.;.;.;.;.;.;.;-
WZ08-0893;      Gewinnung von Salz;5;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-0899;      Gewinnung von Steinen und Erden a.n.g.;29;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-09;  Dienstleistungen f.d.Bergbau u.Gewinnung v.Steinen;97;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-091;    Dienstleistungen f.d. Gewinnung v.Erdöl u.Erdgas;52;.;.;.;.;.;-;.;19;.;.;.;.;.;.;.;-
WZ08-099;    Dienstleistungen für den sonstigen Bergbau usw;45;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-C;Verarbeitendes Gewerbe;206043;1689418;354768;21203;.;.;-;.;76645;.;.;.;.;.;.;.;-
WZ08-10;  Herstellung von Nahrungs- und Futtermitteln;26543;145339;21669;1840;.;.;-;.;5414;.;.;.;.;.;.;.;-
WZ08-101;    Schlachten und Fleischverarbeitung;9445;41482;5381;944;.;.;-;.;993;.;.;.;.;.;.;.;-
WZ08-1011;      Schlachten (ohne Schlachten von Geflügel);879;14215;939;240;.;.;-;.;151;.;.;.;.;.;.;.;-
WZ08-1012;      Schlachten von Geflügel;109;4805;1507;143;.;.;-;.;288;.;.;.;.;.;.;.;-
WZ08-1013;      Fleischverarbeitung;8457;22462;2934;561;.;.;-;.;554;.;.;.;.;.;.;.;-
WZ08-102;    Fischverarbeitung;194;2313;706;18;.;.;-;.;58;.;.;.;.;.;.;.;-
WZ08-103;    Obst- und Gemüseverarbeitung;731;8637;1072;112;.;.;-;.;331;.;.;.;.;.;.;.;-
WZ08-1031;      Kartoffelverarbeitung;63;1829;374;37;.;.;-;.;80;.;.;.;.;.;.;.;-
WZ08-1032;      Herstellung von Frucht- und Gemüsesäften;356;2716;155;15;.;.;-;.;101;.;.;.;.;.;.;.;-
WZ08-1039;      Sonstige Verarbeitung von Obst und Gemüse;312;4093;543;59;.;.;-;.;150;.;.;.;.;.;.;.;-
WZ08-104;    H.v. pflanzlichen und tierischen Ölen und Fetten;149;4733;1765;18;.;.;-;.;76;.;.;.;.;.;.;.;-
WZ08-1041;      H.v. Ölen und Fetten (ohne Margarine u.ä.);140;.;.;.;.;.;-;.;70;.;.;.;.;.;.;.;-
WZ08-1042;      Herstellung von Margarine u. ä. Nahrungsfetten;9;.;.;.;.;.;-;.;6;.;.;.;.;.;.;.;-
WZ08-105;    Milchverarbeitung;659;26941;3317;147;.;.;-;.;746;.;.;.;.;.;.;.;-
WZ08-1051;      Milchverarbeitung (ohne Herstellung von Speiseeis);346;26295;3214;133;.;.;-;.;720;.;.;.;.;.;.;.;-
WZ08-1052;      Herstellung von Speiseeis;313;646;103;15;.;.;-;.;27;.;.;.;.;.;.;.;-
WZ08-106;    Mahl- u. Schälmühlen, H.v. Stärke u.Stärkeerzeugn.;588;7809;1266;33;.;.;-;.;300;.;.;.;.;.;.;.;-
WZ08-1061;      Mahl- und Schälmühlen;567;.;.;.;.;.;-;.;180;.;.;.;.;.;.;.;-
WZ08-1062;      Herstellung von Stärke und Stärkeerzeugnissen;21;.;.;.;.;.;-;.;120;.;.;.;.;.;.;.;-
WZ08-107;    Herstellung von Back- und Teigwaren;12277;15157;1774;198;.;.;-;.;1156;.;.;.;.;.;.;.;-
WZ08-1071;      Herstellung von Backwaren (ohne Dauerbackwaren);11937;12394;1356;150;.;.;-;.;1008;.;.;.;.;.;.;.;-
WZ08-1072;      Herstellung von Dauerbackwaren;179;2383;392;45;.;.;-;.;98;.;.;.;.;.;.;.;-
WZ08-1073;      Herstellung von Teigwaren;161;380;26;3;.;.;-;.;49;.;.;.;.;.;.;.;-
WZ08-108;    Herstellung von sonstigen Nahrungsmitteln;1854;27530;3929;263;.;.;-;.;1500;.;.;.;.;.;.;.;-
WZ08-1081;      Herstellung von Zucker;6;2367;409;18;.;.;-;.;164;.;.;.;.;.;.;.;-
WZ08-1082;      Herstellung von Süßwaren (ohne Dauerbackwaren);378;6846;354;94;.;.;-;.;533;.;.;.;.;.;.;.;-
WZ08-1083;      Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;379;3058;435;22;.;.;-;.;99;.;.;.;.;.;.;.;-
WZ08-1084;      Herstellung von Würzmitteln und Soßen;175;2388;143;38;.;.;-;.;128;.;.;.;.;.;.;.;-
WZ08-1085;      Herstellung von Fertiggerichten;281;1988;212;35;.;.;-;.;104;.;.;.;.;.;.;.;-
WZ08-1086;      H.v.homogenisierten u.diätetischen Nahrungsmitteln;71;1248;155;10;.;.;-;.;69;.;.;.;.;.;.;.;-
WZ08-1089;      Herstellung von sonstigen Nahrungsmitteln a.n.g.;564;9636;2221;45;.;.;-;.;402;.;.;.;.;.;.;.;-
WZ08-109;    Herstellung von Futtermitteln;646;10736;2459;107;.;.;-;.;253;.;.;.;.;.;.;.;-
WZ08-1091;      Herstellung von Futtermitteln für Nutztiere;326;7219;1666;24;.;.;-;.;140;.;.;.;.;.;.;.;-
WZ08-1092;      Herstellung von Futtermitteln für sonstige Tiere;320;3518;794;82;.;.;-;.;113;.;.;.;.;.;.;.;-
WZ08-11;  Getränkeherstellung;2257;16723;2321;173;.;.;-;.;1388;.;.;.;.;.;.;.;-
WZ08-1101;      Herstellung von Spirituosen;671;1713;287;9;.;.;-;.;55;.;.;.;.;.;.;.;-
WZ08-1102;      Herstellung von Traubenwein;291;1844;261;9;.;.;-;.;39;.;.;.;.;.;.;.;-
WZ08-1103;      Herstellung von Apfelwein und anderen Fruchtweinen;123;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-1104;      H.v. Wermutwein u. sonstigen aromatisierten Weinen;4;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-1105;      Herstellung von Bier;866;5980;647;54;.;.;-;.;710;.;.;.;.;.;.;.;-
WZ08-1106;      Herstellung von Malz;34;650;44;3;.;.;-;.;26;.;.;.;.;.;.;.;-
WZ08-1107;      H.v. Erfrischungsgetränken, Mineralwassergewinnung;268;6391;1079;96;.;.;-;.;554;.;.;.;.;.;.;.;-
WZ08-12;  Tabakverarbeitung;61;7147;4182;20;.;.;-;.;191;.;.;.;.;.;.;.;-
WZ08-13;  Herstellung von Textilien;4335;8633;765;98;.;.;-;.;420;.;.;.;.;.;.;.;-
WZ08-131;    Spinnstoffaufbereitung und Spinnerei;94;403;34;9;.;.;-;.;12;.;.;.;.;.;.;.;-
WZ08-132;    Weberei;222;1273;118;12;.;.;-;.;91;.;.;.;.;.;.;.;-
WZ08-133;    Veredlung von Textilien und Bekleidung;1592;847;6;7;.;.;-;.;50;.;.;.;.;.;.;.;-
WZ08-139;    Herstellung von sonstigen Textilwaren;2426;6109;607;71;.;.;-;.;267;.;.;.;.;.;.;.;-
WZ08-1391;      Herstellung von gewirktem und gestricktem Stoff;132;636;86;2;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-1392;      H.v. konfektionierten Textilwaren (oh. Bekleidung);1038;1612;135;19;.;.;-;.;56;.;.;.;.;.;.;.;-
WZ08-1393;      Herstellung von Teppichen;95;509;35;15;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-1394;      Herstellung von Seilerwaren;93;153;13;2;.;.;-;.;9;.;.;.;.;.;.;.;-
WZ08-1395;      H.v. Vliesstoff u. Erzeugn. daraus (oh.Bekleidung);63;1072;41;12;.;.;-;.;84;.;.;.;.;.;.;.;-
WZ08-1396;      Herstellung von technischen Textilien;490;1784;271;15;.;.;-;.;67;.;.;.;.;.;.;.;-
WZ08-1399;      Herstellung von sonstigen Textilwaren a.n.g.;515;343;26;6;.;.;-;.;15;.;.;.;.;.;.;.;-
WZ08-14;  Herstellung von Bekleidung;2961;5388;788;33;.;.;-;.;162;.;.;.;.;.;.;.;-
WZ08-141;    Herstellung von Bekleidung (ohne Pelzbekleidung);2682;4787;694;31;.;.;-;.;129;.;.;.;.;.;.;.;-
WZ08-1411;      Herstellung von Lederbekleidung;72;44;14;0;.;.;-;.;1;.;.;.;.;.;.;.;-
WZ08-1412;      Herstellung von Arbeits- und Berufsbekleidung;132;414;31;1;.;.;-;.;7;.;.;.;.;.;.;.;-
WZ08-1413;      Herstellung von sonstiger Oberbekleidung;1698;3271;542;28;.;.;-;.;98;.;.;.;.;.;.;.;-
WZ08-1414;      Herstellung von Wäsche;144;613;58;1;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-1419;      H.v. sonst.Bekleidung u.Bekleidungszubehör a.n.g.;636;446;49;1;.;.;-;.;6;.;.;.;.;.;.;.;-
WZ08-142;    Herstellung von Pelzwaren;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-143;    H.v. Bekleidung aus gewirktem u. gestricktem Stoff;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-1431;      Herstellung von Strumpfwaren;.;473;90;2;.;.;-;.;31;.;.;.;.;.;.;.;-
WZ08-1439;      H.v. sonst.Bekleidung aus gewirktem u.gestr.Stoff;110;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-15;  Herstellung von Leder, Lederwaren und Schuhen;1272;2389;174;48;.;.;-;.;79;.;.;.;.;.;.;.;-
WZ08-151;    H.v. Leder und Lederwaren (oh.H.v.Lederbekleidung);893;730;49;12;.;.;-;.;36;.;.;.;.;.;.;.;-
WZ08-1511;      H.v. Leder-u.-faserstoff,Zuricht.u.Färben v.Fellen;83;531;7;10;.;.;-;.;28;.;.;.;.;.;.;.;-
WZ08-1512;      Lederverarbeitung (ohne H.v. Lederbekleidung);810;198;42;2;.;.;-;.;8;.;.;.;.;.;.;.;-
WZ08-152;    Herstellung von Schuhen;379;1659;125;36;.;.;-;.;43;.;.;.;.;.;.;.;-
WZ08-16;  H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);11999;19962;2107;210;.;.;-;.;851;.;.;.;.;.;.;.;-
WZ08-161;    Säge-, Hobel- und Holzimprägnierwerke;2141;5376;365;48;.;.;-;.;243;.;.;.;.;.;.;.;-
WZ08-162;    H.v. sonstigen Holz-, Kork-, Flecht- und Korbwaren;9858;14586;1742;162;.;.;-;.;608;.;.;.;.;.;.;.;-
WZ08-1621;      H.v. Furnier-, Sperrh.-, Holzfaserpl.- u. -spanpl.;210;5195;963;53;.;.;-;.;260;.;.;.;.;.;.;.;-
WZ08-1622;      Herstellung von Parketttafeln;35;.;.;.;.;.;-;.;7;.;.;.;.;.;.;.;-
WZ08-1623;      H.v. sonst.Konstr.-, Fertigbauteilen u.Ä. aus Holz;7377;6283;462;59;.;.;-;.;222;.;.;.;.;.;.;.;-
WZ08-1624;      H.v. Verpackungsmitteln,Lagerbehältern u.Ä. a.Holz;336;.;.;.;.;.;-;.;63;.;.;.;.;.;.;.;-
WZ08-1629;      H.v. Holzwaren a.n.g., Kork-, Flecht- u. Korbwaren;1900;1213;152;6;.;.;-;.;56;.;.;.;.;.;.;.;-
WZ08-17;  Herstellung von Papier, Pappe und Waren daraus;1569;33127;5842;236;.;.;-;.;2058;.;.;.;.;.;.;.;-
WZ08-171;    H.v. Holz- u. Zellstoff, Papier, Karton u. Pappe;265;12977;1600;43;.;.;-;.;890;.;.;.;.;.;.;.;-
WZ08-1711;      Herstellung von Holz- und Zellstoff;21;.;.;.;.;.;-;.;51;.;.;.;.;.;.;.;-
WZ08-1712;      Herstellung von Papier, Karton und Pappe;244;.;.;.;.;.;-;.;839;.;.;.;.;.;.;.;-
WZ08-172;    Herstellung von Waren aus Papier, Karton und Pappe;1304;20150;4243;193;.;.;-;.;1168;.;.;.;.;.;.;.;-
WZ08-1721;      H.v. Wellpapier und -pappe, Verpackungsmitteln;642;11023;1332;122;.;.;-;.;604;.;.;.;.;.;.;.;-
WZ08-1722;      H.v. Haushalts- u. Hygieneartikeln a.Zellstoff usw;80;6061;2418;51;.;.;-;.;430;.;.;.;.;.;.;.;-
